year,team,team_salary,wins,playoff_wins,champion,spend_tier,sport
2022,Brooklyn Nets,174811922.0,44.0,0.0,False,High,NBA
2023,Brooklyn Nets,159566723.0,45.0,0.0,False,Medium,NBA
2024,Brooklyn Nets,155015136.0,32.0,0.0,False,Medium,NBA
2015,Charlotte Hornets,76181367.0,33.0,0.0,False,Medium,NBA
2016,Charlotte Hornets,76860006.0,48.0,3.0,False,Medium,NBA
2017,Charlotte Hornets,103054004.0,36.0,0.0,False,Medium,NBA
2018,Charlotte Hornets,117382664.0,36.0,0.0,False,Medium,NBA
2019,Charlotte Hornets,121427859.0,39.0,0.0,False,Medium,NBA
2020,Charlotte Hornets,96552033.0,23.0,0.0,False,Low,NBA
2021,Charlotte Hornets,108218809.0,33.0,0.0,False,Low,NBA
2022,Charlotte Hornets,122139566.0,43.0,0.0,False,Low,NBA
2023,Charlotte Hornets,125874047.0,27.0,0.0,False,Low,NBA
2024,Charlotte Hornets,140774484.0,21.0,0.0,False,Low,NBA
2015,Chicago Bulls,80964682.0,50.0,6.0,False,Medium,NBA
2016,Chicago Bulls,87073838.0,42.0,0.0,False,High,NBA
2017,Chicago Bulls,92522306.0,41.0,2.0,False,Medium,NBA
2018,Chicago Bulls,90466801.0,27.0,0.0,False,Low,NBA
2019,Chicago Bulls,112598201.0,22.0,0.0,False,Low,NBA
2020,Chicago Bulls,112601901.0,22.0,0.0,False,Low,NBA
2021,Chicago Bulls,128963580.0,31.0,0.0,False,Medium,NBA
2022,Chicago Bulls,136083814.0,46.0,1.0,False,Medium,NBA
2023,Chicago Bulls,151964990.0,40.0,0.0,False,Medium,NBA
2024,Chicago Bulls,165630436.0,39.0,0.0,False,Medium,NBA
2015,Cleveland Cavaliers,82592827.0,53.0,14.0,False,High,NBA
2016,Cleveland Cavaliers,108300458.0,57.0,16.0,True,High,NBA
2017,Cleveland Cavaliers,128522489.0,51.0,13.0,False,High,NBA
2018,Cleveland Cavaliers,137722926.0,50.0,12.0,False,High,NBA
2019,Cleveland Cavaliers,123255073.0,19.0,0.0,False,Medium,NBA
2020,Cleveland Cavaliers,131059022.0,19.0,0.0,False,High,NBA
2021,Cleveland Cavaliers,129605319.0,22.0,0.0,False,Medium,NBA
2022,Cleveland Cavaliers,136385911.0,44.0,0.0,False,Medium,NBA
2023,Cleveland Cavaliers,151966241.0,51.0,1.0,False,Medium,NBA
2024,Cleveland Cavaliers,166874287.0,48.0,5.0,False,Medium,NBA
2015,Dallas Mavericks,84820225.0,50.0,1.0,False,High,NBA
